input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/Chiringuito+Marina+Playa/data=!4m7!3m6!1s0xd725aa187842649:0x4f14f2a043ebb772!8m2!3d36.7108423!4d-4.2516062!16s%2Fg%2F1tfrcjmp!19sChIJSSaEh6Facg0RcrfrQ6DyFE8?authuser=0&hl=es&rclk=1,Chiringuito Marina Playa,Chiringuito,"Playa de La Marina, s/n, 29738 Rincón de la Victoria, Málaga",{},{},http://chiringuitomarinaplaya.com/,649 57 58 46,PP6X+89 Rincón de la Victoria,0,4.100000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.710842,-4.251606,5698446198678730610,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerGp2KbT8dMu6XdFV9dy5X4hSzTTZvdVxyTGWIMM1vjZ9uUa-ZpqiqzIu9GPt_nEoSnseohaZBgLcXl31lApoCeGdsWvOkGuaPodk8VfiAiAxeZhcB9ag7qx64chCECnI1cl6A5=w408-h306-k-no,Europe/Madrid,,0xd725aa187842649:0x4f14f2a043ebb772,ChIJSSaEh6Facg0RcrfrQ6DyFE8,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""105591293331901156523"",""name"":""Chiringuito Marina Playa (propietario)"",""link"":""https://www.google.com/maps/contrib/105591293331901156523""}","{""borough"":"""",""street"":""Playa de La Marina, s/n"",""city"":""Rincón de la Victoria"",""postal_code"":""29738"",""state"":""Málaga"",""country"":""ES""}","[{""id"":""accessibility"",""name"":""Accesibilidad"",""options"":[{""name"":""Acceso para sillas de ruedas"",""enabled"":true}]}]",[],null,
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/Toc+Toc+Noodles+by+Tuk+Tuk+%28Rinc%C3%B3n+de+la+Victoria%29/data=!4m7!3m6!1s0xd725a7b182c8661:0xd14826a1af73b1c4!8m2!3d36.714455!4d-4.2814394!16s%2Fg%2F11c1554w9w!19sChIJYYYsGHtacg0RxLFzr6EmSNE?authuser=0&hl=es&rclk=1,Toc Toc Noodles by Tuk Tuk (Rincón de la Victoria),Restaurante especializado en fusión asiática,"P.º de la Marina, 123, 29730 Rincón de la Victoria, Málaga","{""jueves"":[""13:00–16:00"",""19:30–23:30""]}",{},https://toctocnoodles.com/,952 40 14 96,PP79+QC Rincón de la Victoria,0,4.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.714455,-4.281439,15080345828125290948,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwersLXOwfxYO0c2jTY15CyxGHPT043USusUI-CfwogezpZqhr7T9vx3LoX35korzpaZpAHRTp5DUfXrY5ox76XyH2k1y7esBhu0JViwUcyfLpeD7DL2g2i3V9DMKNPV-drDiddAI5w=w408-h306-k-no,Europe/Madrid,,0xd725a7b182c8661:0xd14826a1af73b1c4,ChIJYYYsGHtacg0RxLFzr6EmSNE,[],"[{""link"":""/url?q=https://thefork.es/restaurante/no-piqui-tuktuk-noodles-rincon-de-la-victoria-r844307%3Fcc%3D18174-54f%26rwg_token%3DAFd1xnGtKLlygEhSe3MY7Sbx5oo3mt9leaTWAqgsNTnd621Ou6ASjvf2E8CJjfpb-hSqHX6WHAbU98z8c622_muiThd_ph1sRB6xOWm7gekzeaVJKnhgNoI%253D\u0026opi=79508299\u0026sa=U\u0026ved=0ahUKEwin_Jeg09OSAxW_5MkDHRHnEfcQ2ZABCBgoEg\u0026usg=AOvVaw0XcoD8oYKoqNvULZ0TnTMO"",""source"":""thefork.es""},{""link"":""https://www.google.com/maps/reserve/v/dine/c/vcVpyvG1S9U?opi=79508299\u0026source=pa"",""source"":""google.com""}]",null,"{""link"":"""",""source"":""""}","{""id"":""117192208277434108980"",""name"":""Toc Toc Noodles by Tuk Tuk (Rincón de la Victoria) (propietario)"",""link"":""https://www.google.com/maps/contrib/117192208277434108980""}","{""borough"":"""",""street"":""P.º de la Marina, 123"",""city"":""Rincón de la Victoria"",""postal_code"":""29730"",""state"":""Málaga"",""country"":""ES""}","[{""id"":""accessibility"",""name"":""Accesibilidad"",""options"":[{""name"":""Acceso para sillas de ruedas"",""enabled"":true},{""name"":""Asientos adaptados sillas de ruedas"",""enabled"":true},{""name"":""Aparcamiento adaptado para sillas de ruedas"",""enabled"":false}]}]",[],null,
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/El+Rinc%C3%B3n+de+la+Pizza/data=!4m7!3m6!1s0xd725aa1f50f3307:0x8408ed2d071db71b!8m2!3d36.711458!4d-4.2518411!16s%2Fg%2F12qg73wkk!19sChIJBzMP9aFacg0RG7cdBy3tCIQ?authuser=0&hl=es&rclk=1,El Rincón de la Pizza,Pizzería,"Residencial La Marina, Av. de la Torre, C. Albón, local 3, 29738 Torre de Benagalbón, Málaga","{""jueves"":[""20:00–24:00""]}",{},http://www.elrincondelapizza.es/,951 93 62 20,PP6X+H7 Torre de Benagalbón,0,4.400000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.711458,-4.251841,9514114990468871963,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoCKbuzxHvv0YJkRJ_1I561gnAtUqi15Bc1CW-gg4YMsk_q1CWWEnIV0LEtNBPmk5CfSABVdnGWIOD7FrCK0lx-V0RdSFfjWFHU5RsOrMwzIf_OP8nyiJlPpyO_OWEOR5W-cMVT=w408-h306-k-no,Europe/Madrid,,0xd725aa1f50f3307:0x8408ed2d071db71b,ChIJBzMP9aFacg0RG7cdBy3tCIQ,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""100010703732833894897"",""name"":""El Rincón de la Pizza (propietario)"",""link"":""https://www.google.com/maps/contrib/100010703732833894897""}","{""borough"":"""",""street"":""Residencial La Marina, Av. de la Torre, C. Albón, local 3"",""city"":""Torre de Benagalbón"",""postal_code"":""29738"",""state"":""Málaga"",""country"":""ES""}","[{""id"":""accessibility"",""name"":""Accesibilidad"",""options"":[{""name"":""Acceso para sillas de ruedas"",""enabled"":true},{""name"":""Asientos adaptados sillas de ruedas"",""enabled"":true}]}]",[],null,
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/Pizza+Mia+-+Alma+Italiana/data=!4m7!3m6!1s0xd725b9b8aecb77d:0x3a637c8996184c65!8m2!3d36.7154259!4d-4.2849853!16s%2Fg%2F11fkqyzx72!19sChIJfbfsiptbcg0RZUwYlol8Yzo?authuser=0&hl=es&rclk=1,Pizza Mia - Alma Italiana,Pizzería,"Calle Córdoba, 2, 29730 Rincón de la Victoria, Málaga","{""jueves"":[""20:00–23:00""]}",{},,722 48 29 49,PP88+52 Rincón de la Victoria,0,4.500000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.715426,-4.284985,4207343407264713829,,,,https://lh3.googleusercontent.com/p/AF1QipOgPsvVW_HfL-xcKkV1UxztZHleFxeOU4cvkyYa=w408-h504-k-no,Europe/Madrid,,0xd725b9b8aecb77d:0x3a637c8996184c65,ChIJfbfsiptbcg0RZUwYlol8Yzo,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""100173048286490533154"",""name"":""Pizza Mia - Alma Italiana (propietario)"",""link"":""https://www.google.com/maps/contrib/100173048286490533154""}","{""borough"":"""",""street"":""Calle Córdoba, 2"",""city"":""Rincón de la Victoria"",""postal_code"":""29730"",""state"":""Málaga"",""country"":""ES""}","[{""id"":""accessibility"",""name"":""Accesibilidad"",""options"":[{""name"":""Acceso para sillas de ruedas"",""enabled"":true},{""name"":""Aseo adaptado para sillas de ruedas"",""enabled"":true},{""name"":""Asientos adaptados sillas de ruedas"",""enabled"":true}]}]",[],null,
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/Chiringuito+Dos+Italiano/data=!4m7!3m6!1s0xd725bfbd7b85e33:0xc0719cad4a7a6a18!8m2!3d36.7112234!4d-4.2582875!16s%2Fg%2F11v_876_z3!19sChIJM1641_tbcg0RGGp6Sq2cccA?authuser=0&hl=es&rclk=1,Chiringuito Dos Italiano,Restaurante italiano,"P.º Marítimo Virgen del Carmen, 5, 29738 Torre de Benagalbón, Málaga","{""jueves"":[""13:00–22:30""]}",{},https://www.instagram.com/dos.italiano/,722 44 54 33,PP6R+FM Torre de Benagalbón,0,4.300000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.711223,-4.258287,13867036995743279640,,,,https://lh3.googleusercontent.com/p/AF1QipMIEIdvWSDrVeIn-ni88nBDYRh6l_NdByE-e_Ts=w408-h544-k-no,Europe/Madrid,,0xd725bfbd7b85e33:0xc0719cad4a7a6a18,ChIJM1641_tbcg0RGGp6Sq2cccA,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""104019871711670556809"",""name"":""Chiringuito Dos Italiano (propietario)"",""link"":""https://www.google.com/maps/contrib/104019871711670556809""}","{""borough"":"""",""street"":""P.º Marítimo Virgen del Carmen, 5"",""city"":""Torre de Benagalbón"",""postal_code"":""29738"",""state"":""Málaga"",""country"":""ES""}","[{""id"":""accessibility"",""name"":""Accesibilidad"",""options"":[{""name"":""Acceso para sillas de ruedas"",""enabled"":true},{""name"":""Asientos adaptados sillas de ruedas"",""enabled"":true}]}]",[],null,
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/La+Daniela+-+Rinc%C3%B3n+de+la+Victoria/data=!4m7!3m6!1s0xd725bfc9ce770a7:0x5d8fe06e92bd51fa!8m2!3d36.7161346!4d-4.2896057!16s%2Fg%2F11v5yy94tr!19sChIJp3DnnPxbcg0R-lG9km7gj10?authuser=0&hl=es&rclk=1,La Daniela - Rincón de la Victoria,Pizzería,"Plaza de Nuestra Señora de la Victoria, 9, local 3, 29730 Málaga",{},{},https://www.ladanielapizzerias.com/,951 71 14 69,PP86+F5 Rincón de la Victoria,0,3.800000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.716135,-4.289606,6741853932709827066,,,,https://lh3.googleusercontent.com/p/AF1QipOnY9aV7kTqT4f0hd2ufwddYQKa4y_AfKVvA8Dn=w408-h611-k-no,Europe/Madrid,,0xd725bfc9ce770a7:0x5d8fe06e92bd51fa,ChIJp3DnnPxbcg0R-lG9km7gj10,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""103786849250458981984"",""name"":""La Daniela - Rincón de la Victoria (propietario)"",""link"":""https://www.google.com/maps/contrib/103786849250458981984""}","{""borough"":"""",""street"":""Plaza de Nuestra Señora de la Victoria, 9, local 3"",""city"":""Málaga"",""postal_code"":""29730"",""state"":""Málaga"",""country"":""ES""}",null,[],null,
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/Restaurante+Lacaliza/data=!4m7!3m6!1s0xd725b3537c3e9cd:0x1f8b8b19ad45279c!8m2!3d36.719145!4d-4.2965955!16s%2Fg%2F11fmgzssjc!19sChIJzenDNzVbcg0RnCdFrRmLix8?authuser=0&hl=es&rclk=1,Restaurante Lacaliza,Restaurante,"Urb. Cueva del Tesoro, 16, 29720 La Cala del Moral, Málaga","{""jueves"":[""9:00–24:00""]}",{},http://www.lacalizaeventos.com/,951 12 49 42,PP93+M9 La Cala del Moral,0,4.500000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.719145,-4.296595,2273063379335980956,,,,https://lh3.googleusercontent.com/p/AF1QipO9r2lJtnHWWMgyNff_KFH4nJOo_Gp0epn2xAjY=w408-h544-k-no,Europe/Madrid,,0xd725b3537c3e9cd:0x1f8b8b19ad45279c,ChIJzenDNzVbcg0RnCdFrRmLix8,[],"[{""link"":""/url?q=http://www.lacalizaeventos.com/\u0026opi=79508299\u0026sa=U\u0026ved=0ahUKEwjk1pKj09OSAxV2lmoFHS6oOrAQ2ZABCBgoEg\u0026usg=AOvVaw2qenrlEOojtqbI5KyEm9nP"",""source"":""lacalizaeventos.com""},{""link"":""https://www.google.com/maps/reserve/v/dine/c/dfzs_SiZSzA?opi=79508299\u0026source=pa"",""source"":""google.com""}]",null,"{""link"":"""",""source"":""""}","{""id"":""110005788155239716676"",""name"":""Restaurante Lacaliza (propietario)"",""link"":""https://www.google.com/maps/contrib/110005788155239716676""}","{""borough"":"""",""street"":""Urb. Cueva del Tesoro, 16"",""city"":""La Cala del Moral"",""postal_code"":""29720"",""state"":""Málaga"",""country"":""ES""}","[{""id"":""accessibility"",""name"":""Accesibilidad"",""options"":[{""name"":""Acceso para sillas de ruedas"",""enabled"":true},{""name"":""Aparcamiento adaptado para sillas de ruedas"",""enabled"":true},{""name"":""Aseo adaptado para sillas de ruedas"",""enabled"":true},{""name"":""Asientos adaptados sillas de ruedas"",""enabled"":true}]}]",[],null,
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/Hotel+Rinc%C3%B3n+Sol/data=!4m10!3m9!1s0xd725a7b3d6c4d95:0x9fd89bbc7b31e96c!5m2!4m1!1i2!8m2!3d36.714487!4d-4.280793!16s%2Fg%2F1tlc9dts!19sChIJlU1sPXtacg0RbOkxe7yb2J8?authuser=0&hl=es&rclk=1,Hotel Rincón Sol,Hotel,"Av. del Mediterráneo, 174, 29730 Rincón de la Victoria, Málaga",{},{},http://www.hotelrinconsol.es//?td=g00zp00&referer_code=WGY,952 40 11 00,PP79+QM Rincón de la Victoria,0,4.100000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.714487,-4.280793,11518127280823069036,,"Hotel informal con habitaciones sencillas, Wi‑Fi gratis, vistas al mar, restaurante y discoteca.",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerj7k1jUEk2imHCF9wYWpQczkNfu5IE9PEecNjkd8NwBh10yWB3rq0wA9JhIpgPbQTr6LSkpV12ytdKSMoYkHnZU-rIf-sLJ2Pzm6jYueURxQZtdtyzo2wzAd2myda2UCFDCJv4zA=w426-h240-k-no,Europe/Madrid,,0xd725a7b3d6c4d95:0x9fd89bbc7b31e96c,ChIJlU1sPXtacg0RbOkxe7yb2J8,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""116494442880912512532"",""name"":""Hotel Rincón Sol (propietario)"",""link"":""https://www.google.com/maps/contrib/116494442880912512532""}","{""borough"":"""",""street"":""Av. del Mediterráneo, 174"",""city"":""Rincón de la Victoria"",""postal_code"":""29730"",""state"":""Málaga"",""country"":""ES""}",null,[],null,
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/La+Sal+de+Cort%C3%A9s/data=!4m7!3m6!1s0xd725b0415ccf727:0x27c79fdbe18af1f8!8m2!3d36.7131403!4d-4.2728619!16s%2Fg%2F11xh25jm2y!19sChIJJ_fMFQRbcg0R-PGK4dufxyc?authuser=0&hl=es&rclk=1,La Sal de Cortés,Restaurante mexicano,"P.º Marítimo Virgen del Carmen, 6, 29730 Rincón de la Victoria, Málaga",{},{},https://sites.google.com/view/sal-de-corts/inicio,622 50 27 65,PP7G+7V Rincón de la Victoria,0,3.900000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.713140,-4.272862,2866435454575243768,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoV7OecORxWjHVmjZN0PFYdy6-rH4d5gs3asouly3tpfEB9PuGQH3PnFqXfnB38L5hBVFpOqDsrTg4n_gsLpXPryWniG6kqLGBC-Ux2-JF7bLVLBj5xCKYZZMXPEGjv57kDUqgNOBWio3Wq=w408-h725-k-no,Europe/Madrid,,0xd725b0415ccf727:0x27c79fdbe18af1f8,ChIJJ_fMFQRbcg0R-PGK4dufxyc,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""116463749212229221516"",""name"":""La Sal de Cortés (propietario)"",""link"":""https://www.google.com/maps/contrib/116463749212229221516""}","{""borough"":"""",""street"":""P.º Marítimo Virgen del Carmen, 6"",""city"":""Rincón de la Victoria"",""postal_code"":""29730"",""state"":""Málaga"",""country"":""ES""}","[{""id"":""accessibility"",""name"":""Accesibilidad"",""options"":[{""name"":""Acceso para sillas de ruedas"",""enabled"":true},{""name"":""Asientos adaptados sillas de ruedas"",""enabled"":true}]}]",[],null,
aeb58393-f8a9-4795-ba14-c39b5dbc2038,https://www.google.com/maps/place/Casa+Antonio+Tapas/data=!4m7!3m6!1s0xd725a70075dc829:0x783cf865339335f7!8m2!3d36.7154452!4d-4.2846308!16s%2Fg%2F11clyx2ywv!19sChIJKchdB3Bacg0R9zWTM2X4PHg?authuser=0&hl=es&rclk=1,Casa Antonio Tapas,Bar de tapas,"Calle Córdoba, 1, 29730 Rincón de la Victoria, Málaga","{""jueves"":[""13:00–16:00"",""20:00–23:00""]}",{},https://casaantoniotapas.net/,699 51 86 38,PP88+54 Rincón de la Victoria,0,4.500000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.715445,-4.284631,8664072896694662647,,,,https://lh3.googleusercontent.com/p/AF1QipOycoWPi2LzjSWhQDhF3fK3YzsbgWNaS40EQ8nw=w408-h510-k-no,Europe/Madrid,,0xd725a70075dc829:0x783cf865339335f7,ChIJKchdB3Bacg0R9zWTM2X4PHg,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""102714690757713339792"",""name"":""Casa Antonio Tapas (propietario)"",""link"":""https://www.google.com/maps/contrib/102714690757713339792""}","{""borough"":"""",""street"":""Calle Córdoba, 1"",""city"":""Rincón de la Victoria"",""postal_code"":""29730"",""state"":""Málaga"",""country"":""ES""}","[{""id"":""accessibility"",""name"":""Accesibilidad"",""options"":[{""name"":""Acceso para sillas de ruedas"",""enabled"":true},{""name"":""Aseo adaptado para sillas de ruedas"",""enabled"":true},{""name"":""Asientos adaptados sillas de ruedas"",""enabled"":true},{""name"":""Aparcamiento adaptado para sillas de ruedas"",""enabled"":false}]}]",[],null,
